name,original_name,nationalities,painting_schools,art_movements,birth_date,death_date
leonid muchnyk,Леонід Мучник,ukrainian,,socialist realism,1896-12-17,1966-01-08
aleksandr deyneka,Александр Дейнека,russian,ost;oktyabr;raph,socialist realism,1899-05-20,1969-06-12
yervand kochar,"Երվանդ Սիմոնի ""Քոչար"" Քոչարյան",armenian,,modernism;cubism;soviet nonconformist art;socialist realism;avant garde,1899-07-15,0001-01-01
veniamin kremer,Вениамин Вениаминович Кремер,russian,,socialist realism,1899-09-19,0001-01-01
alexandru ciucurencu,Alexandru Ciucurencu,romanian,,post impressionism;socialist realism,1903-09-27,1977-12-27
dmitry nalbandyan,Դմիտրի Նալբանդյան,armenian,,socialist realism,1906-09-15,1993-07-02
sergiy grigoriev,Сергій Григор'єв,ukrainian,,socialist realism,1910-07-05,0001-01-01
teodor harsia,Teodor Harșia,romanian,,socialist realism;expressionism,0001-01-01,0001-01-01
jules perahim,Iuliș Blumenfeld,french;jewish;romanian,,surrealism;socialist realism,1914-05-24,2008-03-02
włodzimierz zakrzewski,Włodzimierz Zakrzewski,polish,,realism;socialist realism,0001-01-01,0001-01-01
tetyana yablonska,Тетяна Яблонська,ukrainian,,socialist realism,1917-02-11,2005-06-17
victor puzyrkov,Віктор Пузирков,ukrainian,,socialist realism,1918-10-04,1999-10-30
wojciech fangor,Wojciech Fangor,polish,,socialist realism;op art,1922-11-15,0001-01-01
sergey ryabchenko,Сергей Васильевич Рябченко,ukrainian,,realism;socialist realism,1923-06-01,1992-06-27
victor zaretsky,Віктор Зарецький,ukrainian,,socialist realism;soviet nonconformist art,1925-02-08,1990-08-10
viktor shatalin,Віктор Шаталін,ukrainian;russian,,socialist realism,1926-01-15,2003-07-02
dmitri zhilinsky,Дмитрий Жилинский,russian,,socialist realism,1927-05-25,2015-07-29
andrzej wroblewski,Andrzej Wróblewski,polish,,socialist realism;expressionism,1927-06-15,1957-03-23
tahir salahov,Tahir Teymur oğlu Salahov,azerbaijani;russian,,socialist realism,1928-11-29,0001-01-01
mikhail olennikov,Михаил Оленников,russian,,socialist realism,1934-08-11,0001-01-01
vyacheslav nazaruk,Вячесла́в Назару́к,russian,,socialist realism,1941-03-04,0001-01-01
sun mu,선무,north korean,,socialist realism;pop art,0001-01-01,0001-01-01
kukryniksy,Кукрыниксы,russian,,socialist realism,0001-01-01,0001-01-01
lewis carroll,Charles Lutwidge Dodgson,british,,pictorialism,1832-01-27,1898-01-14
gertrude kasebier,Gertrude Stanton,american,,pictorialism,1852-05-18,1934-10-12
robert demachy,Robert Demachy,french,,pictorialism,1859-07-07,1936-12-29
alfred stieglitz,Alfred Stieglitz,american,stieglitz group;photo secession,pictorialism,1864-01-01,1946-07-13
frank eugene,Frank Eugene Smith,american,,pictorialism,1865-09-19,1936-12-16
heinrich kuhn,Carl Christian Heinrich Kühn,austrian;german,,pictorialism,1866-02-25,1944-09-14
adolph de meyer,Baron Adolph de Meyer,french;american,,pictorialism,1868-09-01,1946-01-06
anne brigman,Anne Brigman,american,photo secession,pictorialism;impressionism,1869-12-03,1950-02-08
clarence white,Clarence Hudson White,american;mexican,,pictorialism,1871-04-08,1925-07-07
george seeley,George Henry Seeley,american,stieglitz group,pictorialism,0001-01-01,0001-01-01
alvin langdon coburn,Alvin Langdon Coburn,american;british,,pictorialism,1882-06-11,1966-11-23
werner peiner,Werner Peiner,german,,new objectivity;expressionism;new medievialism,1897-07-20,1984-08-19
roberto montenegro,Roberto Montenegro,mexican,,muralism,1885-02-19,1968-10-13
saturnino herran,Saturnino Herrán Guinchard,mexican,,art nouveau;muralism,1887-07-09,1918-10-08
carlos merida,Carlos Mérida,mexican;guatemalan,,muralism,1891-12-02,1984-12-21
manuel rodriguez lozano,Manuel Rodríguez Lozano,mexican,,modernismo;muralism,1891-12-04,0001-01-01
jorge gonzalez camarena,Jorge González Camarena,mexican,,muralism,1908-03-24,1980-05-24
vela zanetti,Jose Vela Zanetti,spanish;dominican,,muralism,1913-05-27,1999-01-04
vlady,Vladímir Kibálchich Rusakov,mexican,mexican mural renaissance,surrealism;muralism;expressionism,1920-06-15,2005-07-21
pedro coronel,Pedro Coronel,mexican,,muralism;abstract expressionism,1922-03-25,1985-05-23
christian rohlfs,Christian Rohlfs,italian;german,degenerate art,expressionism,1849-11-22,1938-01-08
lovis corinth,Franz Heinrich Louis,german,berlin secession,impressionism;expressionism,1858-07-21,1925-07-17
marianne von werefkin,Марианна Верёвкина,russian;german;swiss,neue kunstlervereinigung munchen;der blaue reiter,expressionism,0001-01-01,0001-01-01
helene schjerfbeck,Helene Sofia Schjerfbeck,finnish,,realism;expressionism,1862-07-10,1946-01-23
carl holsøe,Carl Holsøe,danish,,expressionism,1863-03-12,1935-11-07
alexej von jawlensky,Alexej Georgewitsch von Jawlensky,russian;german,der blaue reiter;degenerate art;neue kunstlervereinigung munchen,expressionism,1864-03-13,1941-03-15
wassily kandinsky,Василий Кандинский,russian,blue rose;der blaue reiter;bauhaus;degenerate art;der sturm;neue kunstlervereinigung munchen,expressionism;abstract art,1866-12-16,1944-12-13
kathe kollwitz,Käthe Schmidt Kollwitz,german,berlin secession,expressionism,1867-07-08,1945-04-22
emil nolde,Emil Nolde,german,der blaue reiter;die brucke;berlin secession;degenerate art,expressionism,1867-08-07,1956-04-13
albin egger lienz,Albin Egger-Lienz,austrian,,expressionism,1868-01-29,1926-11-04
john marin,John Marin,american,stieglitz group,expressionism;abstract art,1870-12-23,1953-10-02
thalia flora karavia,Καραβία-Φλωρά Θάλεια,greek,munich school,impressionism;expressionism,0001-01-01,0001-01-01
georges rouault,Georges Henri Rouault,french,les fauves,expressionism,1871-05-27,1958-02-13
lyonel feininger,Lyonel Charles Feininger,american;german,der blaue reiter;die brucke;berlin secession;degenerate art,expressionism,1871-07-17,1956-01-13
antonio carneiro,António Teixeira Carneiro Júnior,portuguese,,realism;expressionism,1872-09-16,1930-03-31
otto mueller,Otto Müller,german,die brucke;degenerate art,expressionism,1874-10-16,1930-09-24
armand henrion,Armand François Joseph Henrion,french;belgian,ecole de paris,expressionism,1875-05-30,0001-01-01
arthur segal,Arthur Segal,jewish;german;romanian,der blaue reiter;die brucke,expressionism;dada,1875-07-23,1944-06-23
jacoba van heemskerck,Jacoba van Heemskerck,dutch,,expressionism,1876-01-04,1923-08-03
paula modersohn becker,Paula Modersohn-Becker,german,,expressionism,1876-02-08,1907-11-21
constantin brancusi,Constantin Brâncuși,french;romanian,ecole de paris;la ruche,expressionism;abstract art;avant garde,1876-02-19,1957-03-16
max jacob,Max Jacob,french;jewish,la ruche,expressionism,1876-07-12,1944-03-05
mommie schwarz,Samuel Leser Schwarz,,,avant garde;expressionism,1876-07-28,1942-11-19
bela kadar,Béla Kádár,jewish;hungarian,degenerate art,expressionism;cubism,0001-01-01,0001-01-01
gustave de smet,Gustave de Smet,belgian,les xx,expressionism,0001-01-01,0001-01-01
gabriele munter,Gabriele Münter,german,der blaue reiter;der sturm;neue kunstlervereinigung munchen,expressionism,1877-02-19,1962-05-19
alfred kubin,Alfred Leopold Isidor Kubin,austrian,degenerate art,symbolism;expressionism,1877-04-10,1959-08-20
helen dahm,Helen Dahm,swiss,,expressionism,1878-05-21,1968-05-24
tyko sallinen,Sallinen Tyko Konstantin,finnish,november group,expressionism;modernism,1879-03-14,1955-09-18
franz marc,Franz Marc,german,der blaue reiter;degenerate art;der sturm;neue kunstlervereinigung munchen,expressionism,1880-02-08,1916-03-04
ernst ludwig kirchner,Ernst Ludwig Kirchner,german,die brucke;degenerate art,expressionism,1880-05-06,1938-06-15
jacob epstein,Sir Jacob Epstein KBE,american;british;jewish,,expressionism;vorticism,1880-11-10,1959-08-19
theophrastos triantafyllidis,Θεόφραστος Τριανταφυλλίδης,greek,generation of the thirties;art,impressionism;post impressionism;expressionism,0001-01-01,0001-01-01
max weber,Max Weber,american;jewish,,expressionism;cubism,1881-04-18,1961-10-04
iosif iser,Iosif Iser,jewish;romanian,,expressionism,1881-05-21,1958-04-25
leon spilliaert,Léon Spilliaert,belgian,,symbolism;expressionism,1881-07-28,1946-11-23
abraham manievich,Абрам Маневич,jewish;ukrainian;belarusian,,expressionism,1881-11-25,1941-06-30
jan sluyters,Johannes Carolus Bernardus (Jan) Sluijters,dutch,,post impressionism;expressionism,1881-12-17,1957-05-08
max pechstein,Hermann Max Pechstein,german,die brucke;berlin secession;la ruche;degenerate art,expressionism,1881-12-31,1955-06-29
emil filla,Emil František Josef Filla,czech,,cubism;expressionism,1882-04-04,1953-10-07
albert bloch,Albert Bloch,american,der blaue reiter,symbolism;expressionism,1882-08-02,1961-03-23
lajos gulacsy,Lajos Gulácsy,hungarian,,symbolism;expressionism,1882-10-12,1932-02-21
nikolaos lytras,Νικόλαος Λύτρας,greek,art,expressionism,1883-05-10,0001-01-01
richard gerstl,Richard Gerstl,austrian,vienna secession,art nouveau;expressionism,1883-09-14,1908-11-04
marie laurencin,Marie Laurencin,,section d'or,expressionism;cubism,1883-10-31,1956-06-08
max beckmann,Max Beckmann,german,berlin secession;degenerate art,expressionism;new objectivity,1884-02-12,1950-12-28
vadym meller,Вадим Меллер,ukrainian,societe des artistes independants;armu,cubo futurism;avant garde;constructivism;expressionism,1884-04-15,1962-05-04
amedeo modigliani,Amedeo Clemente Modigliani,italian;jewish,ecole de paris;la ruche,expressionism,1884-07-12,1920-01-24
karl schmidt rottluff,Karl Schmidt-Rottluff,german,die brucke;degenerate art,expressionism,1884-12-01,0001-01-01
george bouzianis,Γεώργιος Μπουζιάνης,greek,the generation of the thirties,expressionism,0001-01-01,0001-01-01
theodor severin kittelsen,Theodor Severin Kittelsen,norwegian,,neo romanticism,1857-04-27,1914-01-21
harald sohlberg,Harald Oskar Sohlberg,norwegian,,neo romanticism,1869-09-29,1935-06-19
stanley spencer,Sir Stanley Spencer,british,new english art club,neo romanticism,1891-06-30,1959-12-14
edwin dickinson,Edwin Walter Dickinson,american,new york school,expressionism;neo romanticism,1891-10-11,1978-12-02
richard eurich,Richard Ernst Eurich,british,,neo romanticism,1903-03-13,1992-06-06
jean fautrier,Jean Fautrier,french,,art informel;haute pate;existential art,1898-05-16,1964-07-21
germaine richier,Germaine Richier,french,,existential art,1902-09-16,1959-07-21
louis pons,Louis Pons,french,,outsider art;existential art,0001-01-01,0001-01-01
zani corrado,Zani Corrado,italian,,existential art,1952-03-22,0001-01-01
mimmo rotella,Domenico Mimmo Rotella,italian,,lettrism;nouveau realisme,1918-10-07,2006-01-06
isidore isou,Ioan-Isidor Goldstein,french;jewish;romanian,,lettrism,1925-01-31,2007-07-28
jacques villegle,Jacques Mahé de la Villeglé,french,,lettrism;nouveau realisme,0001-01-01,0001-01-01
joao vieira,João Rodrigues Vieira,portuguese,,lettrism,1934-10-04,2009-09-15
ben,Benjamin Vautier,french;swiss,fluxus;zero,lettrism;mail art;neo dada,1935-07-18,0001-01-01
leon wyczołkowski,Leon Jan Wyczółkowski,polish,society of polish artists 'sztuka',young poland,1852-04-11,1936-12-27
jacques villon,Gaston Emile Duchamp,french,section d'or,cubism,1875-07-31,1963-06-09
julio gonzalez,Juli González i Pellicer,french;spanish,,cubism,1876-09-21,1942-03-27
raoul dufy,Raoul Dufy,french,les fauves,post impressionism;cubism,1877-06-03,1953-03-23
louis marcoussis,Ludwik Kazimierz Wladyslaw Markus,french;polish,ecole de paris;section d'or,cubism,0001-01-01,1941-10-22
leopold survage,Leopoldij Sturzwasgh,french;russian;finnish,,cubism;orphism,1879-07-31,1968-10-31
fernand leger,Joseph Fernand Henri Léger,french,section d'or;la ruche,cubism,1881-02-04,1955-08-17
patrick henry bruce,Patrick Henry Bruce,american,,cubism,1881-03-25,1936-11-12
henri le fauconnier,Henri Victor Gabriel Le Fauconnier,french,section d'or,cubism,1881-07-05,1946-12-25
albert gleizes,Albert Léon Gleizes,french,societe des artistes independants;section d'or;abstraction creation,cubism,1881-12-08,1953-06-23
auguste herbin,Auguste Herbin,french,section d'or;abstraction creation,post impressionism;cubism;abstract art,1882-04-29,1960-01-30
georges braque,Georges Braque,french,ecole de paris;les fauves,cubism,1882-05-13,1963-08-31
gino severini,Gino Severini,italian,ecole de paris;novecento italiano;milan futurist group;lacerba,cubism;futurism,1883-04-07,1966-02-26
jean metzinger,Jean Dominique Antony Metzinger,french,section d'or,cubism,1883-06-24,1956-11-03
gosta adrian nilsson,Gösta Adrian-Nilsson (GAN),swedish,,cubism,1884-04-02,1965-03-29
henri laurens,Henri Laurens,french,,cubism,1885-02-18,1954-05-05
georges valmier,Georges Valmier,french,,cubism,1885-04-11,1937-03-25
andre lhote,André Lhote,french,section d'or,cubism,1885-07-05,1962-01-25
roger de la fresnaye,Roger de La Fresnaye,french,section d'or,cubism,1885-07-11,1925-11-27
johannes sveinsson kjarval,Jóhannes Sveinsson Kjarval,icelandic,,expressionism;cubism,1885-10-15,1972-04-13
lajos tihanyi,Tihanyi Lajos,french;hungarian,ecole de paris;eight,post impressionism;cubism,1885-10-29,1938-06-11
juan gris,José Victoriano González-Pére,spanish,ecole de paris,cubism,1887-03-23,1927-05-11
olexandr archipenko,Олександр Архипенко,american;ukrainian,ecole de paris;la ruche,cubism;avant garde,1887-05-30,1964-02-25
amadeo de souza cardoso,Amadeo de Souza-Cardoso,portuguese,,expressionism;cubism;futurism,1887-11-14,1918-10-25
gustave buchet,Gustave Buchet,swiss,,cubism,0001-01-01,0001-01-01
lyubov popova,Любовь Попова,russian,supremus,cubism;suprematism;constructivism;avant garde,1889-04-24,1924-05-25
jury annenkov,Юрий Анненков,russian,mir iskusstva;ost,cubism;futurism,1889-07-23,1974-07-12
c. r. w. nevinson,Christopher Richard Wynne Nevinson,british,london group,cubism;futurism,1889-08-13,1946-10-07
nathan altman,Натан Альтман,jewish;ukrainian,soyuz molodyozhi,cubism;avant garde,1889-12-22,1970-12-12
kmetty janos,Kmetty János,hungarian,,cubism,1889-12-23,1975-11-16
ossip zadkine,Осип Цадкин,french;jewish,ecole de paris,expressionism;cubism,1890-07-14,1967-11-25
